,time,x,y,z,xdot,ydot,zdot,qx,qy,qz,qw,wx,wy,wz,windx,windy,windz,r1,r2,r3,r4,xdes,ydes,zdes,xdotdes,ydotdes,zdotdes,xddotdes,yddotdes,zddotdes,xdddotdes,ydddotdes,zdddotdes,xddddotdes,yddddotdes,zddddotdes,yawdes,yawdotdes,ax,ay,az,ax_gt,ay_gt,az_gt,gx,gy,gz,mocap_x,mocap_y,mocap_z,mocap_xdot,mocap_ydot,mocap_zdot,mocap_qx,mocap_qy,mocap_qz,mocap_qw,mocap_wx,mocap_wy,mocap_wz,r1des,r2des,r3des,r4des,thrustdes,qxdes,qydes,qzdes,qwdes,mxdes,mydes,mzdes
0,0.0,-0.38403058714797744,-2.844442609032652,0.29797486727225486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.53,1788.53,1788.53,1788.53,-0.38403058714797744,-2.844442609032652,0.29797486727225486,4.3399649446559336e-23,7.592092280217019e-23,-2.924690792407411e-23,6.124571134869475e-23,6.696519221940925e-23,9.660245983744963e-23,2.443007302789688e-23,6.732715177063368e-24,7.009666323944713e-23,70.66352342710738,188.3030863955056,-33.700979478384426,2.3189903659561712e-23,-3.1029755593107074e-23,-0.2747238895799992,2.2783642646910285,7.323725534652304,0.0,0.0,9.809774653426668,7.970967597531047e-05,0.0002619438439280816,0.0009614063242266519,-0.3838837232155997,-2.8483950723481555,0.2998807262419434,-0.0042154856640328935,-0.00013527303817571865,0.008308513302111187,-0.0002765386952539755,0.0004535560092958761,-0.0017479280093915784,0.999998331279093,-0.002644123098490554,3.190908082574342e-05,-0.0031045802296183938,1788.5505426121624,1788.5505426121624,1788.5505426121624,1788.5505426121624,0.2943,-1.889138039898522e-23,1.1969638589955765e-23,1.1594951829780856e-23,1.0,-2.9391965279957163e-25,1.8622842503796778e-25,3.227575059292388e-25
1,0.01,-0.38403058714797744,-2.844442609032652,0.29797486066623946,0.0,0.0,-9.302548260289206e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1601.7379164363444,1961.6654484907676,1935.3147829500622,1754.9792480403362,-0.38403055826577237,-2.844442531637311,0.2979748530917777,1.1497127173573986e-05,3.0852232922091644e-05,-5.68580969079525e-06,0.003421328215436943,0.0092028228754087,-0.0017125081593423969,0.673182121581672,1.8194885416870974,-0.3451812734753416,64.01335403761144,175.65738903478888,-35.30881598201716,3.6780300656404335e-21,1.4536668015186881e-18,-2.0832967245911598,0.047229765852711526,9.45802114484371,0.0,0.0,10.149970055317764,-0.001017837096911441,0.0003707335610122156,0.0005199211743036747,-0.3818691710937152,-2.844273007378614,0.2950434247393224,0.000620204902158843,0.00707365502047689,-0.0026956612887715998,0.002259868451000946,-0.001121961077209473,0.0008987228533143281,0.9999964132411469,-0.0013281919827179726,-0.0002632939072123474,0.0015326409730831258,1787.3757858153124,1788.855150697166,1789.4041893832732,1787.926226237065,0.2942473373468984,-0.0004754536601408606,0.00017676467530267762,-8.404342266853559e-08,0.9999998713490216,-7.39729727426591e-06,2.750175170416407e-06,-2.642593807677016e-09
2,0.02,-0.38403052657065306,-2.8444423328603534,0.2979838094541282,2.2314840689933507e-05,0.00010159048703574575,0.0013297507665983167,-0.0013522651150455174,0.0002977078332972179,-0.0002392301187128524,0.9999990127585401,-0.4122766990573924,0.09198019343610128,-0.07303763684616517,0.0,0.0,0.0,1496.2701762152199,1803.1319511933473,1878.6923271597445,1580.1140611676108,-0.38403013389958895,-2.8444413875681285,0.2979746382408382,8.976836605974816e-05,0.0002426151585670922,-4.6017148360478006e-05,0.013246000370537761,0.03597450367795723,-0.006954587840032016,1.2810704951133216,3.5143953901601535,-0.7056522888985461,57.6042089564433,163.3859745133848,-36.75944326311077,5.717703114117997e-20,1.129906782166016e-17,1.1982896213397491,-2.3929993599004575,10.01476165966058,4.097706628102004e-05,-3.474844162454707e-05,8.828775980230933,-0.41200370065186465,0.09117894721429617,-0.07273139416388602,-0.3847004015801758,-2.84471534206988,0.3008995748921753,0.008848513045878217,-0.002754359138141059,-0.008460274611270347,-0.0007315164587132515,0.0009739620624333239,0.000760713691678827,0.9999989687975939,-0.40744279185870574,0.09628606938532015,-0.07467107241928371,1828.072528024874,1755.8855052871227,1763.8685727415693,1798.367663185659,0.29371785839375963,-0.001866321961084153,0.0006903735072995147,-1.2884617890355991e-06,0.9999980201105889,0.00026687020920665775,-5.568367769721676e-05,0.0001059406529651908
3,0.03,-0.3840298141418896,-2.8444391704278553,0.29796754679987625,0.0001473913275488169,0.0006433076110706331,-0.0032728442656367114,-0.004659993213222076,0.0011002645036147119,-0.0005660490075883598,0.999988376667347,-0.7495359964407213,0.18788633965645513,-0.053341727637195434,0.0,0.0,0.0,1750.593155219784,1706.26611122315,1689.207841768966,1709.6870800043157,-0.38402833692326005,-2.844436509883331,0.2979736973025263,0.0002956224981555498,0.0008048104587090884,-0.00015702814563161224,0.028833073714152654,0.07908786229353955,-0.015871327539935906,1.8260584178584387,5.08844017663292,-1.0798564158988355,51.43269901964545,151.48420339541886,-38.055953692587906,2.827451103138214e-19,3.703921887983997e-17,-1.083181503837736,0.6039732774340356,8.823649592908252,-3.971449529361257e-05,-0.00015503717292836283,9.010765951836158,-0.7488148502457592,0.18683807826421175,-0.05274329475947508,-0.38500625610086536,-2.8462666309595774,0.29549765834553227,-0.006420866460653336,0.018677629326950263,-0.013689752199455804,-0.003907508388369313,0.002522979595814983,0.0016585176912015033,0.9999878075612831,-0.7531472428525012,0.18941508931804807,-0.05448575594623507,1859.1764390348553,1742.1620346421455,1734.054938225566,1820.3027868996323,0.294678630077366,-0.004059609478505617,0.0014983455236100675,-6.082754641317884e-06,0.999990637203456,0.0005090861782489359,-0.00011973682129598656,8.9585160056939e-05
4,0.04,-0.38402705024036715,-2.8444272771554564,0.2979121651705851,0.00043095272082447445,0.0018500464750272978,-0.006697542967623015,-0.007867551465593696,0.001810761897227507,-0.0007664399893542499,0.9999671171318737,-0.5000766699079223,0.09783701481043973,-0.025815326135601755,0.0,0.0,0.0,2172.3781386067094,1834.364498239327,1907.2127409781667,1762.3521017624832,-0.38402361377247035,-2.8444235971653296,0.2979711375223609,0.0006835779774490235,0.0018748732223024826,-0.0003761264999820473,0.049565369009568885,0.13735268294839345,-0.02859240407175948,2.3105052954409397,6.545296137960409,-1.466267947814658,45.49543506326037,139.9474362450165,-39.20143964137121,8.729554141279184e-19,8.524805930350848e-17,0.2464005553294261,0.5073962949094503,15.56435702277367,-0.00012432133939666235,-0.0005062285552657197,11.369126325919774,-0.4994960497674012,0.0989201329172599,-0.02721953114864118,-0.3815656186782091,-2.841961538278272,0.3000388447247602,0.0004568292278233794,0.00023609251314457005,-0.021331911621198758,-0.008351360935353764,0.004883901144015785,-0.0015808303317504711,0.9999519504734241,-0.49791948480292725,0.09933430246101292,-0.02186299968649391,1835.9893482737252,1756.4417950866584,1756.2006511082045,1815.1919785529092,0.29520746818652316,-0.006985608731382304,0.002570920918058996,-1.7959945188262716e-05,0.9999722952730867,0.00034718189618714084,-5.369586343944999e-05,5.856857400996612e-05
5,0.05,-0.38402083423539735,-2.8443996837124232,0.29788893233436775,0.0007877975789480824,0.0036905994980004674,-1.7864272366280006e-05,-0.009550680969876102,0.0013570151508893076,-0.00016176962420534974,0.9999534573336304,-0.19509549594426237,-0.1981936646494417,0.19854216771413183,0.0,0.0,0.0,1822.215130514456,1881.9551637865588,1910.2286805816163,1838.2918636855275,-0.38401389616550446,-2.8443968325461597,0.29796568583803107,0.0013020988709816221,0.003598519269167492,-0.0007419409080787628,0.07484913161811493,0.20961525026551314,-0.045232391800138744,2.736736641845164,7.8885901166388805,-1.863392101693689,39.78902792333058,128.7710336263032,-40.198993480383315,2.081657131812215e-18,1.616140665472531e-16,-1.1754735394168223,-0.4364389229053555,10.498103141677007,-0.00022795023519329988,-0.0009329538623827904,10.64937063744409,-0.19403381971996064,-0.19757876586705006,0.19777347859689676,-0.3856267722167652,-2.8425811086006054,0.30082151073936314,0.00524696827321661,-0.006586238373770451,-0.0024080108976682136,-0.00821211242184173,-0.0006602603389846021,-0.0013949296546804514,0.999965089109172,-0.19382576787295477,-0.1959937832771268,0.20193904485633307,1754.0928051664694,1779.2979294520323,1766.5987795953615,1835.5266607681117,0.2928537574109906,-0.010719292114954758,0.00394120128897167,-4.224964347128797e-05,0.9999347788350608,0.0001113522210200781,0.00017293464905072454,-0.0002631302130118201
6,0.060000000000000005,-0.38401186921195635,-2.844352644890603,0.2979111514291363,0.0009774321717471509,0.005734141811152395,0.003256959199346531,-0.010772307402622045,0.0006198286298884828,0.0007554463056870064,0.9999414995421344,-0.25093969380656983,-0.09486430451429492,0.1508385525651621,0.0,0.0,0.0,1731.7680451453912,1658.2288505876038,1716.2730195062618,1859.8970333035584,-0.38399666048153497,-2.8443489990828867,0.29795567741938334,0.002193827410246641,0.006110107834239778,-0.0012941715864826363,0.10411369258276486,0.29475788532106156,-0.06589107187873261,3.107044079415877,9.121902560805855,-2.2697650182928295,34.310088435898535,117.95035610340443,-41.05170758054686,4.2153358033130204e-18,2.7098310948586015e-16,-1.0452732362779042,-0.4589389762671095,6.758950562950325,-0.00020078232102132827,-0.0013246087289379704,9.317179135334051,-0.24964852074352087,-0.0960763332040918,0.1507843602097524,-0.3859668407037986,-2.8432936576868686,0.29986511266352306,-0.004965397361588727,0.0035260547303394823,0.018422123402072742,-0.01313952319410897,0.0026273934457358033,0.0013899096038804102,0.9999092548252597,-0.2505115209167019,-0.09785829627930419,0.15105231960364762,1754.0485314317093,1775.757483882553,1763.0692041425202,1823.2638329803517,0.29124221305494924,-0.015260864201455435,0.005616834499126998,-8.572908481764801e-05,0.9998677661793874,9.738122531699509e-05,0.0001417560982001288,-0.0002281549740643861
7,0.07,-0.3840015753631996,-2.8442848784712855,0.2979272731789007,0.0010851598321254552,0.007849914310832207,0.000497691206701127,-0.011418689111138731,0.0007159283050935315,0.0013225825971657237,0.999933673680869,-0.04925836558370615,0.10087823381972129,0.07531512267970805,0.0,0.0,0.0,1689.1881421501075,1797.6915718047014,1808.0454110721023,1794.7495243251929,-0.3839689848303424,-2.8442715915293664,0.2979390456877289,0.0033958131534236958,0.009532999612384192,-0.0020734438857241324,0.13681112971174247,0.39169848170078325,-0.0906537414873151,3.423685338858269,10.248767524240105,-2.683953762078207,29.055227437006764,107.48076424044567,-41.76267431278448,7.624898198479018e-18,4.1740050935157995e-16,-0.1789613490283124,-1.4693117652271186,7.953855309954152,-0.0002786881655764716,-0.0018989420471910157,9.64085456100746,-0.04973613061649727,0.10012370342051287,0.07485343063933288,-0.38500396822629573,-2.8423812612344124,0.29812968584147287,0.002210085309316213,-0.008939648080875672,0.0009114896374167331,-0.008051725853301132,0.0008846997091914398,0.002494511348842798,0.9999640815701024,-0.04792707474810497,0.10039924051945961,0.07650273819990465,1750.556851930716,1798.7787385645026,1780.5297910708973,1784.9208718005905,0.2910945112455736,-0.020536200680186117,0.0075336825539070095,-0.0001547502464417376,0.9997607134415522,-0.00010874523241577651,3.92845140635851e-05,-0.0001457132353314549
8,0.08,-0.38398983872720793,-2.8441952968118804,0.2979249746611739,0.0012888210317047767,0.010087922122014623,-0.0008728473197591681,-0.01204414817934326,0.0015319504182744177,0.0015080393055155825,0.9999251559191833,-0.1824478041880821,0.20175809552921578,0.007726914729169178,0.0,0.0,0.0,1891.9075667522234,1645.519802894751,1581.9347680569365,1813.0545570634101,-0.3839276038473589,-2.844154924550749,0.29791331378354863,0.004939738758449236,0.013979910163772659,-0.003121164996749916,0.1724159286621256,0.4993900415564167,-0.11959152306886768,3.688884259237955,11.272672666361656,-3.1045563212251746,24.021055762697735,97.35761860155243,-42.334986048018834,1.2697873843839748e-17,6.041523083155956e-16,-1.1227623764933172,-0.6982963864672725,9.442888779849374,-0.0003114563382583201,-0.0024112126929158872,9.259029495817243,-0.18249513158316394,0.20120107248737942,0.008027260931168925,-0.38399763968976536,-2.84468776798623,0.2980401109820908,-0.010311691567339527,0.001908823849352299,0.007853095594363547,-0.013934575759476512,0.0005253268608466281,0.002040012675382158,0.9999006900579562,-0.1788126216155475,0.19920586528154877,0.014561656729186415,1761.0680856594342,1793.5827219816874,1780.7434829397325,1771.1312970918318,0.2904038237492688,-0.026610595474382534,0.009672498884856967,-0.0002574941983922101,0.9995990459532056,-0.00010470310047162789,-7.2355050667142436e-06,-6.352078025975641e-05
9,0.09,-0.3839752897159698,-2.8440831203361636,0.29789707779136493,0.0016432027906342237,0.012353090431079074,-0.004132524140024646,-0.011876640674786259,0.002188972898099604,0.0015434515720565676,0.9999258830339267,0.12992050653197407,0.09308768412034839,0.0036574120546206783,0.0,0.0,0.0,1695.343209442961,1673.826610023675,1727.4692931376046,1709.0751751116384,-0.3838689612479266,-2.843988237427132,0.29787558745167203,0.006852142366923115,0.019553258679826175,-0.00447938374974039,0.2104246440234504,0.6168202116621069,-0.15276167356667147,3.904830787980974,12.197059252231789,-3.5302016076183143,19.20418424901394,87.57627975085013,-42.77173515717253,1.9851025273419808e-17,8.338057457136957e-16,0.8023052556050687,0.19533793364631205,9.477964242893975,-0.00039877370711989253,-0.0029203803667396666,8.879413401896263,0.129906090539712,0.09279465299085342,0.0037050098249595993,-0.38281893311354154,-2.8492285929992036,0.2965835593305025,0.02399460751229227,0.013130561498717946,-0.0176631765761824,-0.011607134300686505,0.0010637289356529608,0.004046888891285882,0.999923879905055,0.13204119199779474,0.09503005152537201,0.008549816821788143,1717.1921706575229,1814.0963186224155,1820.7470857881196,1747.7865541968847,0.2900201604538177,-0.03341217221282298,0.011977389322359798,-0.00040044295156553127,0.999369805696812,-0.00042138647566835436,9.104096539399551e-05,-6.383082489996718e-05
